Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
201401BS70490,525820,179720,-0.188628,51.502366,1,2,2,1,17/07/2014,5,18:59,12,E09000020,3,315,2,30,8,4,6,0,0,0,1,1,1,0,0,1,2,E01002826
201401BS70493,525760,178360,-0.189976,51.490157,1,3,2,2,31/07/2014,5,12:40,12,E09000020,6,0,2,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002894
201401BS70494,525990,179690,-0.186191,51.502059,1,3,2,1,01/08/2014,6,10:15,12,E09000020,3,315,6,30,3,4,6,0,0,4,1,1,1,0,0,1,1,E01002889
201401BS70495,525520,180000,-0.192848,51.504949,1,3,2,1,01/08/2014,6,23:00,12,E09000020,4,405,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01002824
201401BS70496,525940,177780,-0.187592,51.484904,1,3,4,1,03/08/2014,1,00:35,12,E09000020,3,3220,2,30,6,4,6,0,0,0,4,1,1,0,0,1,1,E01002897
201401BS70497,524930,178740,-0.201791,51.493756,1,3,2,1,03/08/2014,1,21:09,12,E09000020,3,3220,6,30,3,2,6,0,0,5,4,1,1,0,0,1,1,E01002814
201401BS70498,527250,178420,-0.168504,51.490363,1,2,2,1,02/08/2014,7,16:01,12,E09000020,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002914
201401BS70500,524050,179700,-0.214123,51.502577,1,3,2,1,26/07/2014,7,09:05,12,E09000020,3,3220,6,30,6,2,5,0,0,5,1,1,1,0,0,1,2,E01002869
201401BS70501,524690,179080,-0.205126,51.496864,1,3,1,1,04/08/2014,2,15:30,12,E09000020,3,315,6,30,0,-1,-1,0,0,5,1,1,1,0,0,1,1,E01002814
201401BS70502,525400,180160,-0.194519,51.506414,1,3,1,1,04/08/2014,2,11:30,12,E09000020,3,4204,6,30,6,4,6,0,0,1,1,1,1,0,0,1,1,E01002827
201401BS70504,527890,179190,-0.159012,51.497139,1,2,2,1,05/08/2014,3,08:23,12,E09000020,3,3216,6,30,6,2,4,319,0,5,1,1,1,0,0,1,1,E01002863
201401BS70505,528200,178280,-0.154879,51.48889,1,3,2,1,22/07/2014,3,18:45,12,E09000020,3,3216,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01002901
201401BS70506,527320,177640,-0.167778,51.483337,1,3,2,1,10/08/2014,1,17:00,12,E09000020,3,3212,6,30,3,4,3,3212,0,5,1,1,1,0,0,1,1,E01002844
201401BS70508,523860,182490,-0.21588,51.527693,1,2,2,3,08/08/2014,6,18:53,1,E09000033,3,404,6,30,3,2,4,450,0,5,1,1,1,0,0,1,1,E01002852
201401BS70509,527800,179610,-0.160156,51.500934,1,3,1,1,09/08/2014,7,13:58,12,E09000020,3,3216,6,30,3,2,6,0,0,5,1,1,1,0,0,1,1,E01002818
201401BS70511,525850,178850,-0.188506,51.49454,1,3,2,1,09/08/2014,7,00:20,12,E09000020,3,4,3,30,3,2,5,0,0,5,4,1,2,0,0,1,1,E01002839
201401BS70512,524390,180100,-0.209086,51.506097,1,3,2,1,10/08/2014,1,11:00,12,E09000020,3,402,6,30,3,4,6,0,0,0,1,2,2,0,0,1,1,E01002868
201401BS70513,527340,178150,-0.167306,51.487916,1,3,2,1,10/08/2014,1,13:35,12,E09000020,3,3217,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002899
201401BS70514,523830,180620,-0.216968,51.510894,1,3,1,1,10/08/2014,1,19:00,12,E09000020,5,0,6,30,3,4,6,0,0,8,1,1,1,0,0,1,1,E01002870
201401BS70516,526590,178100,-0.178121,51.487635,1,3,2,1,11/08/2014,2,08:34,12,E09000020,3,308,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01002911
201401BS70517,524630,179050,-0.206,51.496608,1,3,2,1,27/07/2014,1,12:55,12,E09000020,3,315,6,30,6,2,3,3220,0,5,1,1,1,0,0,1,2,E01002867
201401BS70518,527210,178810,-0.16894,51.493877,1,3,1,1,08/08/2014,6,00:20,12,E09000020,3,308,6,30,0,-1,-1,0,0,5,4,1,1,0,6,1,2,E01002821
201401BS70519,524590,181940,-0.205556,51.52259,1,3,2,1,13/08/2014,4,17:10,12,E09000020,5,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002854
201401BS70520,527360,179280,-0.166611,51.498067,1,3,2,1,13/08/2014,4,15:08,12,E09000020,3,4,6,40,3,2,4,319,0,5,1,1,1,0,0,1,1,E01002819
